"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"KENNETH MARLIN LASHLEY I","KENNY'S LAWTON BAR","N6499 U S HIGHWAY 63","BELDENVILLE","WI","54003","PIERCE","TOWN of ELLSWORTH","","2026-06-30","2025-07-14","20","1","0","0","1","0",
"KENNETH A SPRANGERS","SILVER SPUR SALOON","W5779 COUNTY HWY KK","APPLETON","WI","54915","CALUMET","VILLAGE of HARRISON","","2026-06-30","2025-07-10","100","1","0","0","1","0",
"Kendra Enterprise LLC","Kendra's Place","713 State Highway 13","Nekoosa","WI","54457","ADAMS","TOWN of BIG FLATS","","2027-06-30","2026-06-18"," 10.00","1","1","1","1","0",
"KENDALL FOOD CENTER & LIQUIDATIONS","KENDALL FOOD CENTER & LIQUIDATIONS","105 E SOUTH RAILROAD ST","KENDALL","WI","54638","MONROE","VILLAGE of KENDALL","","2027-06-30","2026-06-10","25","1","1","1","1","0",
"KEMPER SPORTS MANAGEMENT, LLC","NEMADJI GOLF COURSE","5 N 58TH STREET","SUPERIOR","WI","54880","DOUGLAS","CITY of SUPERIOR","DANIEL WALKER","2026-06-30","2026-03-26","100","0","1","0","1","0",
"KELLY WILLIAMSON COMPANY","KELLEYS MARKET","2956 FISH HATCHERY RD.","FITCHBURG","WI","53713","DANE","CITY of FITCHBURG","SUZANNE DORSEY-STERLING","2026-06-30","2025-07-14","100","1","1","1","1","0",
"KELLY L. DURAND","BAHR TIME","W2904 MAIN ST.","CAMPBELLSPORT","WI","53010","FOND DU LAC","TOWN of ASHFORD","KELLY DURAND","2027-06-30","2026-06-04","25","1","0","0","1","0",
"KELLY GREENS CBD & VAPE LLC","KELLY GREENS","1010 FOND DU LAC AVE","KEWASKUM","WI","53040","WASHINGTON","VILLAGE of KEWASKUM","CALEB KELLY","2026-06-30","2025-12-11","100","0","0","1","1","0",
"KELLEY WILLIAMSON COMPANY","KELLEY WILLIAMSON MOBIL MART","276 DAVISON DR","SUN PRAIRIE","WI","53590","DANE","CITY of SUN PRAIRIE","SUZANNE DORSEY-STERLING","2027-06-30","2026-06-10","100","1","1","1","1","0",
"KELLEY WILLIAMSON COMPANY","KELLEY'S MARKET","680 KENOSHA ST","WALWORTH","WI","53184","WALWORTH","VILLAGE of WALWORTH","SUZANNE DORSEY-STERLING","2027-06-30","2026-06-22","100","1","1","1","1","0",
"KELLEY WILLIAMSON COMPANY","KELLEYS MARKET","5418 BLUEBILL PK DR","WAUNAKEE","WI","53597","DANE","TOWN of WESTPORT","DORSEY, SUZANNE","2026-06-30","2025-06-25","100","1","0","0","1","0",
"KELLEY WILLIAMSON CO","KELLY'S MARKET","6859 CO TRK K","MIDDLETON","WI","53562","DANE","TOWN of SPRINGFIELD","SUZANNE DORSEY-STERLING","2026-06-30","2025-07-14","50","1","1","1","1","0",
"KELLEY WILLIAMSON CO","LAKE GENEVA MOBIL","350 N. EDWARDS BLVD.","LAKE GENEVA","WI","53147","WALWORTH","CITY of LAKE GENEVA","SUZANNE DORSEY-STERLING","2026-06-30","2026-02-16","100","1","1","1","1","0",
"KELLEY WILLIAMSON CO","KELLEY'S MARKET","901 S GAMMON RD","MADISON","WI","53719","DANE","CITY of MADISON","SUZANNE DORSEY-STERLING","2025-06-30","2026-04-16","100","1","1","1","1","0",
"Kelley Timm","Kelley T's","W2064 State Rd 21","Berlin","WI","54923","WAUSHARA","TOWN of AURORA","Kelley Timm","2026-06-30","2025-07-15","20","1","0","0","1","0",
"KELLEY  WILIAMSON COMPANY","KELLEY'S MARKET","8613  UNIVERSITY AVE","MIDDLETON","WI","53562","DANE","CITY of MIDDLETON","SUZANNE DORSEY","2027-06-30","2026-06-18","100","1","1","1","1","0",
"KEG TAVERNS LLC","LAKEHOUSE BAR & GRILL","W6547 COUNTY ROAD C","Plymouth","WI","53073","SHEBOYGAN","TOWN of PLYMOUTH","KAYLEY GRUBE","2027-06-30","2026-06-15"," 75.00","1","1","1","1","0",
"KEG REG, LLC","JACK'S PLACE","1923 TOWER AVENUE","SUPERIOR","WI","54880","DOUGLAS","CITY of SUPERIOR","RONALD E. GEEGAN","2026-06-30","2026-03-26","100","1","0","0","1","0",
"KEFAH INVESTMENT LLC","PETRO MART","2341 S CHASE AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","MOHANY, EHAB A, AGENT","2026-01-16","2025-07-15","100","1","1","1","1","0",
"KEELER FOOD MART INC","KEELER FOOD MART","1301 KEELER AVE","BELOIT","WI","53511","ROCK","CITY of BELOIT","MOHAMED A THABET","2026-06-30","2025-07-23","100","1","1","1","1","0",
"KDB EASTON LLC","BUTTER'S BRICKHAUSE TAVERN","1343 SECOND STREET","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","OLSEN, STEVEN","2026-06-30","2025-07-15","100","1","0","0","0","1",
"KC PETROLEUM INC","HIMALAYAN OIL","3515 S 13TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","KC, TILAK B, AGENT","2026-05-13","2025-07-15","100","1","1","1","1","0",
"KBY Oil, Inc.","Yuvi's General Store","117 E. 2nd Street","Black river falls","WI","54615","United Sta","TOWN of BROCKWAY","Kulraj Grewal","2025-06-30","2024-09-04","25","1","0","1","1","0",
"KBY OIL, INC.","YUVI'S GENERAL STORE","117 E. 2ND STREET","BLACK RIVER FALLS","WI","54615","UNITED STA","TOWN of BROCKWAY","Kulraj Grewal","2025-06-30","2024-09-04","25","1","0","1","1","0",
"KBY OIL INC","YUVI'S GENERAL STORE","117 E 2ND STREET","BLACK RIVER FALLS","WI","54615","JACKSON","TOWN of BROCKWAY","KULRAJ GREWAL","2026-06-30","2025-07-15","25","1","0","1","1","0",
"KATS ENTERPRISES, LLC","HERITAGE INN","224 W MAIN STREET","HORTONVILLE","WI","54944","OUTAGAMIE","VILLAGE of HORTONVILLE","KAITLYN L. PETERSON","2027-06-30","2026-06-17","50","1","1","1","1","0",
"KATHY KUESTER","OTTER LAKE BAIT & CAMP STORE","16488 CTY HWY H","STANLEY","WI","54768","CHIPPEWA","TOWN of COLBURN","","2026-06-30","2025-07-21","20","1","1","1","1","0",
"KATHY B'S LLC","KATHY'S BUFFALO BAR","814 N. CHURCH STREET","WATERTOWN","WI","53098","DODGE","CITY of WATERTOWN","KATHY BLAESKE","2026-06-30","2026-03-26","100","1","0","0","1","0",
"KATHLEEN A SIPPLE","BILL & KATHY'S WHITE HOUSE","W15905 US HWY 8","GOODMAN","WI","54125","MARINETTE","TOWN of GOODMAN","Kathleen Sipple","2027-06-30","2026-06-08","10","1","1","0","1","0",
"KASTURI MARKETING LLC","UNION AVENUE BP I","1208 UNION AVE","SHEBOYGAN","WI","53081","SHEBOYGAN","CITY of SHEBOYGAN","BASUDEV ADHIKARI","2026-06-30","2025-07-14","100","1","1","1","1","0",
"KARSYN'S KORNER, LLC","KARSYN'S KORNER","11602 COUNTY ROAD B","PRESQUE ISLE","WI","54557","VILAS","TOWN of PRESQUE ISLE","BRENDA DYRE","2026-06-30","2026-06-08","5","1","1","1","1","0",
"KARNALI INVESTMENT LLC","SLINGER HILL BP","1136 E COMMERCE BLVD","SLINGER","WI","53083","WASHINGTON","VILLAGE of SLINGER","Mahendra Thapa","2027-06-30","2026-06-22","50","1","1","1","1","0",
"KARLS COUNTRY MARKET INC.","KARL'S COUNTRY MARKET","W156N5645 PILGRIM RD.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","CLARK, KIRBY","2026-06-30","2025-07-14","100","1","1","0","1","0",
"KARIN'S KORNER LLC","HILLTOP BAR & GRILL","W5297 COUNTY ROAD T","HOLMEN","WI","54636","LA CROSSE","TOWN of FARMINGTON","ELIZABETH LESZCZYNSKI","2026-06-30","2026-06-24","10","1","1","0","1","0",
"KAPUL, LTD","CHOICE LIQUOR","4770 N HOPKINS ST","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","CHEEMA, JAGJIT S, AGENT","2025-07-26","2025-07-15","100","1","1","0","1","0",
"KANSASVILLE CONVENIENCE & CARWASH LLC ","KANSASVILLE CONVENIENCE & CARWASH ","22930 DURAND AVENUE","KANSASVILLE","WI","53139","RACINE","TOWN of DOVER","SATVIR SINGH","2027-06-30","2026-04-24","100","1","1","1","1","0",
"KANRU, INC","MI SUPER FOODS & LIQUOR","2200 S 13TH ST","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","PATEL, NEHA A, AGENT","2026-01-16","2025-07-15","100","1","1","0","1","0",
"KANDAVAPE LLC","PUFF - N - UP","6900 W CAPITOL DR","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","BARBARAWI, ANAN SA, AGENT","2026-06-29","2025-07-15","100","1","1","1","1","0",
"KAMP KINGSON LLC","9 MILE ALL SPORT RESORT ","N5751 HWY 55","WHITE LAKE ","WI","54491","LANGLADE","TOWN of WOLF RIVER","TIM NELSON","2027-06-30","2026-06-24"," 10.00","1","1","0","1","0",
"KAMP K CORP","BEAR LAKE CAMPGROUND & RESORT","N4715 STATE RD 22 110","MANAWA","WI","54949","WAUPACA","TOWN of ROYALTON","Robert Kahlscheuer","2027-06-30","2026-06-16","10","1","0","0","1","0",
"KAMAL FOOD LLC","PAUL'S WINE & LIQUOR 2","4955 S 27TH ST","GREENFIELD","WI","53221","MILWAUKEE","CITY of GREENFIELD","KAMALJIT K SIDHU","2026-06-30","2025-07-23","100","1","1","1","1","0",
"KALYAN OIL LLC","KALYAN OIL LLC","4866 S 27TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","AFZAL, SULEMAN, AGENT","2025-12-03","2025-07-15","100","1","1","1","1","0",
"KALISH, KIMBERLY","KIM'S SILVER DOLLAR TAVERN","910 WISCONSIN AVE","BOSCOBEL","WI","53805","GRANT","CITY of BOSCOBEL","KIMBERLY KALISH","2026-06-30","2025-07-11","50","1","0","0","1","0",
"KALIM M BEG","HOWARD CLARK","1930 W HOWARD AV","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","KALIM M BEG","2025-10-30","2025-07-15","100","1","1","0","1","0",
"KALIM M BEG","LOCUST BP","232 W LOCUST ST","MILWAUKEE","WI","53017","MILWAUKEE","CITY of MILWAUKEE","KALIM M BEG","2025-09-22","2025-07-15","100","1","1","1","1","0",
"KALIM M BEG","KAL SERVICE  DBA CAPITOL BP","7311 W CAPITOL DR","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","KALIM M BEG","2025-09-22","2025-07-15","100","1","1","0","1","0",
"KAL'S KORNER","SAM'S KAL'S KORNER, LLC","125 W. MAIN STREET","HIXTON","WI","54635","JACKSON","VILLAGE of HIXTON","SAMUEL PRINDLE","2027-06-30","2026-06-23","15","1","1","0","1","0",
"KAL SERVICE","KAL SERVICE","10731 W OKLAHOMA AVE","WEST ALLIS","WI","53227","MILWAUKEE","CITY of WEST ALLIS","KALIM BEG","2026-06-30","2025-07-14","100","0","1","1","1","1",
"KAL KAPONE WIRELESS LLC","GREENOUT SMOKE AND VAPE","6312 22ND AVE","KENOSHA","WI","53140","KENOSHA","CITY of KENOSHA","KALED FARHAN","2027-06-30","2026-06-25","100","1","1","1","1","0",
"KAKAN INC","HWY 10 LIQUOR & SMOKE","5474 HWY 10 E","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","ZALA, AMRATLAL M.","2026-06-30","2025-07-15","100","1","1","1","1","0",
"KAHIN CO","CITY OIL","840 W VIRGINIA ST","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","KAHIN, AHMED, AGENT","2026-06-09","2025-07-15","100","1","1","0","1","0",
"KABULSON INC","MAIN STREET BP","N88W15167 MAIN ST.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","SINGH, GURVINDER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"KABIR PRAMUKH LIQUOR LLC","KABIN PRAMUKH LIQUOR LLC","820 10TH AVE.","BALDWIN","WI","54002","ST CROIX","VILLAGE of BALDWIN","Sanjaykumar Chaudhary","2026-06-30","2025-07-07","30","1","1","1","1","0",
"KA-TET LLC","PUFFIN PASS","2911 N OAKLAND AV","MILWAUKEE","WI","53211","MILWAUKEE","CITY of MILWAUKEE","SLOWEY, JAMES D, AGENT","2026-01-28","2025-07-15","100","1","1","1","1","0",
"K&B BEVERAGE","COUNTY LINE BEVERAGE","4141 S. COUNTY ROAD T","BRODHEAD","WI","53520","ROCK","TOWN of SPRING VALLEY","JOHN J KELLEY","2027-06-30","2026-06-17","100","1","1","0","1","0",
"K MAIN PUB, LLC","MAIN PUB","241 S MAIN ST","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","KATHERINE KOTTKE","2026-06-30","2025-07-24","100","1","0","0","1","0",
"K J'S MEAT & CHEESE LLC","FIFIELD GROCERY","N14030 FLAMBEAU AVE","FIFIELD","WI","54524","PRICE","TOWN of FIFIELD","JOHN SMITH","2026-06-30","2025-06-26","5","1","1","0","1","0",
"K C CLARK GAS & MART, LLC","FLYING EAGLE","5072 S 27TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","CHAND, KAMLESH, AGENT","2026-01-31","2025-07-15","100","1","1","0","1","0",
"K 5 LTD","THE CABIN","1338 2ND STREET","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","KIZEWSKI, BRIAN","2026-06-30","2025-07-15","100","1","1","0","1","0",
"K 5 LTD","THE OUTFIT","804 MAIN STREET","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","KIZEWSKI, BRIAN","2026-06-30","2025-07-15","100","1","1","0","1","0",
"K & O INVESTMENTS, LLC","JAY'S UPTOWN CAFE","5007-09 W CENTER ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","TAYLOR, ODEAN H, AGENT","2026-01-17","2025-07-15","100","1","1","0","1","0",
"K & K FOODS LLC","CAMPBELLSPORT PIGGLY WIGGLY","450 GRANDVIEW AVE","CAMPBELLSPORT","WI","53010","FOND DU LAC","VILLAGE of CAMPBELLSPORT","KEVIN HARVEY","2027-06-30","2026-06-16","10","1","1","0","1","0",
"K & J BEVERAGE LLC","K & J BEVERAGE MART","933 E MAIN ST","WINNECONNE","WI","54986","WINNEBAGO","TOWN of WINNECONNE","KIM HILLMAN","2026-06-30","2026-02-26","25","1","1","0","1","0",
"K & A PETROLEUM LLC","EAST SIDE MART","N168W19490 MAIN ST","JACKSON","WI","53037","WASHINGTON","VILLAGE of JACKSON","KURT KRUEPKE","2026-06-30","2025-07-14","65","1","1","1","1","0",
"K & A LLC","PETRO MART","702 W OKLAHOMA AV","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","KHALIQ, KHAWAR A, AGENT","2026-04-12","2025-07-15","100","1","1","1","1","0",
"JWCW, LLC","IRISH WATERS GOLF CLUB","N4265 MURPHY RD.","FREEDOM","WI","54130","OUTAGAMIE","TOWN of FREEDOM","JAMES WEIHBRECHT","2026-06-30","2025-07-09","50","1","1","1","1","0",
"JUSTIN P INGERSOLL","FRICKEN A ","W1302 COUNTY HIGHWAY A ","DORCHESTER ","WI","54425","CLARK","TOWN of MAYVILLE","","2027-06-30","2026-05-07","15","1","1","1","1","0",
"JUSTIN COOK","HOLY SMOKES PESHTIGO CORPORATION","1000 FRENCH STREET","PESHTIGO","WI","54157","MARINETTE","TOWN of PESHTIGO","","2026-06-30","2026-03-24","25","0","1","1","1","0",
"JUST ANOTHER BAR AND GRILL LLC","JUST ANOTHER BAR AND GRILL LLC","408 MAIN STREET","OGDENSBURG","WI","54962","WAUPACA","VILLAGE of OGDENSBURG","Steven Dain","2026-06-30","2025-07-17","5","1","1","0","1","0",
"JURGELLA II, FRANCIS","FRANK & ERNIES","925 SECOND STREET","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","","2026-06-30","2025-07-15","100","1","0","0","1","0",
"JUNIORS SALOON LLC","JUNIOR'S SALOON LLC","2901 STATE HWY 55","CRANDON","WI","54520","FOREST","TOWN of NASHVILLE","JIMMY CARSON LANDRU JR","2027-06-30","2026-06-26"," 100.00","1","1","1","1","1",
"JUNIORS FOODS LLC","JUNIOR'S FOODS","4782 N HOPKINS ST","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","CROSS, KENNETH, AGENT","2026-04-06","2025-07-15","100","1","1","0","1","0",
"JUNIOR'S TAVERN LLC","JUNIOR'S TAVERN LLC","E7425 COUNTY RD C","NORTH FREEDOM","WI","53951","SAUK","TOWN of HONEY CREEK","SHAWN SCHELL","2026-06-30","2025-07-03","25","1","1","0","1","0",
"JUNIOR'S LLC","JUNIOR'S","3079 N 25TH ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","CROSS, KENNETH, AGENT","2025-07-26","2025-07-15","100","1","1","0","1","0",
"JUNCTION LIQUOR, LLC","JUNCTION LIQUOR","2521 HILS CT, SUITE F","MENOMONIE","WI","54751","DUNN","CITY of MENOMONIE","JONCAS, TRAVIS S.","2026-06-30","2025-07-29","100","1","1","0","1","0",
"JUJHAR LLC","MIDTOWN CITGO","11123 W FOREST HOME AVE","FRANKLIN","WI","53132","MILWAUKEE","CITY of FRANKLIN","HARDIP SINGH BHATTI","2026-06-30","2025-07-01","100","1","1","1","1","0",
"JUAN D. MORQUECHO","KIMBERLY'S MEXICAN GROCERIES & RESTAURANT","40 W. MUNROE AVE","LAKE DELTON","WI","53940","SAUK","VILLAGE of LAKE DELTON","URIEL DOMINGUEZ","2026-06-30","2025-07-14","100","1","1","1","1","0",
"JTT EXON LLC","JTT EXON","1905 E MILWAUKEE ST","JANESVILLE","WI","53545","ROCK","CITY of JANESVILLE","TOM THOMAS","2026-06-30","2025-07-16","100","1","1","1","1","0",
"JTT ENTERPRISES INC","LAYTON PETRO MART","12345 W LAYTON AVE","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","JUDITH A SCHWARTZ","2026-06-30","2025-07-23","100","1","1","1","1","0",
"JT'S WASH & MART (MINU JTS WASH AND MART LLC)","JT'S WASH & MART (MINU JTS WASH AND MART LLC)","751 WISCONSIN ST","OSHKOSH","WI","54901","WINNEBAGO","CITY of OSHKOSH","RANJIT  ALE MAGAR","2026-06-30","2025-07-16","100","1","1","1","1","0",
"JT'S GAS STATION LLC","JT'S GAS STATION LLC","714 SPRING ST","HIGHLAND","WI","53543","IOWA","VILLAGE of HIGHLAND","TYSON JOHN THIELORN","2026-06-30","2025-06-16","5","1","1","0","1","0",
"JRPE PETROLEUM INC","PADDOCK LAKE SHELL","24409 75TH STREET","SALEM","WI","53168","KENOSHA","VILLAGE of PADDOCK LAKE","MANDEEP KAKNIA","2026-06-30","2025-07-03","100","1","1","1","1","0",
"JRP PROPERTIES, LLC","OAK WINE & SPIRITS","308 E MAIN ST","WATERFORD","WI","53185","RACINE","VILLAGE of WATERFORD","JOHN PALMER","2027-06-30","2026-06-18"," 100.00","0","1","0","1","0",
"JRP PETROLEUM, INC","PADDOCK LAKE CITGO ","24518 75TH ST.","SALEM","WI","53168","KENOSHA","VILLAGE of PADDOCK LAKE","MANDEEP KAKNIA","2026-06-30","2025-07-03","100","1","1","1","1","0",
"JRG WELLNESS LLC","AMERICAN SHAMAN ON BLUEMOUND","17550 W. BLUEMOUND ROAD, STE 200","BROOKFIELD","WI","53045","WAUKESHA","CITY of BROOKFIELD","ROBERTO R ISLAS ORTEGA","2025-06-30","2024-08-12","100","0","0","1","1","0",
"JR SMITH LLC","MAIN STREET MINI MART","1698 MAIN ST","GREEN BAY","WI","54311","BROWN","CITY of GREEN BAY","BEECHTREE, CANDICE","2026-06-30","2025-07-09","100","1","1","1","1","0",
"JR SCHUSTER LLC","THE VEGAS CLUB","W9031 US HIGHWAY 14","DARIEN","WI","53114","WALWORTH","TOWN of DARIEN","JASON SCHUSTER","2027-06-30","2026-06-10","5","1","0","0","0","1",
"JR GAS, INC.","DARIEN CORNER MART","101 W. BELOIT STRETT","DARIEN","WI","53114","WALWORTH","VILLAGE of DARIEN","Jamshaid Yousaf","2026-06-30","2025-06-26","100","1","1","1","1","0",
"JP VENTURES, LLC","BUCK 'N BEAMS BAR AND CAMPGROUND","1277 20TH STREET","CAMERON","WI","54822","BARRON","TOWN of STANLEY","Greg Symbal","2026-06-30","2025-07-06","5","1","1","0","1","0",
"JP FOOD & LIQUOR, INC","EXPRESS LIQUOR & TOBACCO","6859 N TEUTONIA AV","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","SINGH, SARBJIT, AGENT","2025-07-06","2025-07-15","100","1","1","0","1","0",
"JP EXPRESS INC.","JP EXPRESS INC.","5493 MONUMENT POINT ROAD","EGG HARBOR","WI","54209","DOOR","TOWN of EGG HARBOR","PARVINDER JANDU","2026-06-30","2025-07-08","25","1","0","0","1","0",
"Joy's Food Mart Inc","Joy's Food Mart","7952 USH 41 ","Caledonia","WI","53408","RACINE","VILLAGE of CALEDONIA","JOBIN PETER","2026-06-30","2025-06-30","100","1","1","1","1","0",
"JOSEPHINE CALLAWAY","JOSIES HIDEAWAY","N15945 STATE ROAD 80","NECEDAH","WI","54646","JUNEAU","TOWN of FINLEY","NULL","2027-06-30","2026-06-17","5","1","0","0","1","0",
"JOSEPH W CONNOR","CONNOR'S SERVICE STATION","26548 LAKELAND AVENUE NORTH","WEBSTER","WI","54893","BURNETT","VILLAGE of WEBSTER","Joseph W Connor","2027-06-30","2026-06-15"," 100.00","1","1","1","1","0",
"JOSEPH NICKEL","THE WOODEN NICKEL","11606 SHERIDAN ROAD","PLEASANT PRAIRIE","WI","53158","KENOSHA","VILLAGE of PLEASANT PRAIRIE","JOSEPH A. NICKEL","2026-06-30","2025-06-23","100","1","0","0","1","0",
"JOSEPH JANICKI","4 POLE JOES","473 CTY B","PELICAN LAKE","WI","54463","ONEIDA","TOWN of SCHOEPKE","JOSEPH JANICKI","2026-06-30","2025-07-09","5","1","0","0","1","0",
"JOSEPH J WOOD","THE WOOD HILL LLC","W7523 COUNTY ROAD C","BEAVER DAM","WI","53916","DODGE","TOWN of TRENTON","","2027-06-30","2026-06-19","20","1","0","0","1","0",
"JOSEPH FEIT","FEIT'S BACKWOOD'S BEER & BAIT","10561 STATE RD 70","SIREN","WI","54872","BURNETT","TOWN of DANIELS","","2026-06-30","2025-07-09","5","1","0","0","1","0",
"JOSEPH DANON","PURPLE PLANET","207 BROADWAY","WISCONSIN DELLS","WI","53965","COLUMBIA","CITY of WISCONSIN DELLS","JOSEPH DANON","2026-06-30","2026-02-25","100","1","1","1","1","0",
"JORDAN FOODS LLC","CRISPY AND GRILL","3100 S 60TH ST","MILWAUKEE","WI","53219","MILWAUKEE","CITY of MILWAUKEE","YOUSEF, MUNTHAR, AGENT","2026-03-05","2025-07-15","100","1","1","1","1","0",
"JORDAN CONVENIENCE LLC","JORDAN FOOD AND TOBACCO","4704 W BURLEIGH ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","AL-GHROUZ, MAHMOUD A, AGENT","2025-11-12","2025-07-15","100","1","1","1","1","0",
"JON IRLBECK","IRLBECK OUTDOORS","422 MAIN STREET W","MILLTOWN","WI","54858","POLK","VILLAGE of MILLTOWN","","2026-06-30","2025-07-01","50","1","0","0","1","0",
"JON BLASER","BROTHERS COUNTRY MART","316 MAIN ST","DOWNING","WI","54734","DUNN","VILLAGE of DOWNING","Jon Blaser","2026-06-30","2025-06-13","50","1","1","0","1","0",
"JOLLY PROPERTIES ","JOLLY PROPERTIES DBA BLAZERS BAR & GRILL","N3189 COUNTY RD SS","TIGERTON","WI","54486","SHAWANO","TOWN of FAIRBANKS","","2026-06-30","2025-09-30","5","0","1","0","1","0",
"JOLLY PANTRY LLC","EXPRESS PANTRY","1804 W LINCOLN AV","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","JASSAL, MANMEET S, AGENT","2026-01-30","2025-07-15","100","1","1","1","1","0",
"JOKERS BAR AND FUN ALLEY, LLC","JOKERS BAR AND FUN ALLEY","110 W. MADISON AVENUE","GRANTSBURG","WI","54840","BURNETT","VILLAGE of GRANTSBURG","Nelson, Timothy","2026-06-30","2025-07-15","100","1","1","1","1","0",
"JOJO'S STOP AND SHOP","JOJO'S STOP AND SHOP","4303 SIXTEENTH ST","RACINE","WI","53405","RACINE","CITY of RACINE","NUMAN PASQUALINE","2026-06-30","2026-04-01","1","1","1","1","0","0",
"JOHO INC","DAYBREAK MOBIL","622 GENESEE STREET","DELAFIELD ","WI","53018","WAUKESHA","CITY of DELAFIELD","JAMIE LYNN O'MARRAH","2026-06-30","2026-02-10","100","1","1","1","1","0",
"JOHNSON RECREATION PROPERTIES INC","JOHNSON'S STORE","8875 ST HWY 13","PORT WING","WI","54865","BAYFIELD","TOWN of PORT WING","JESSICA JOHNSON","2026-06-30","2025-07-21","25","1","1","1","1","0",
"JOHNNY'S PETROLEUM PRODUCTS, INC.","JOHNNY'S PETROLEUM PRODUCTS","S76W17871 JANESVILLE RD","MUSKEGO","WI","53150","WAUKESHA","CITY of MUSKEGO","JOHN P. STRASSER JR","2026-06-30","2025-07-15","100","1","1","0","1","0",
"JOHNNY VAPES LLC","JOHNNY VAPES","2717 SCHOFIELD AVE SUITE 2","WESTON","WI","54476","MARATHON","VILLAGE of WESTON","TYLER HALL","2026-06-30","2025-07-10","100","1","1","1","1","0",
"JOHNNY VAPES LLC","JOHNNY VAPES","4144 HARBOR TOWN LN STE 200","MANITOWOC","WI","54220","MANITOWOC","CITY of MANITOWOC","TYLER HALL","2026-06-30","2025-07-15","100","0","1","1","1","0",
"JOHNNY VAPES LLC","JOHNNY VAPES","681 S GREEN BAY ROAD","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","BENJAMIN HALL","2026-06-30","2025-10-07","100","1","1","1","1","0",
"JOHNNY VAPES LLC","JOHNNY VAPES","1681 LIME KILN RD.  SUITE A","GREEN BAY","WI","54311","BROWN","VILLAGE of BELLEVUE","BENJAMIN T. HALL","2026-06-30","2025-06-13","100","1","1","1","1","0",
"JOHNNY VAPES LLC","JOHNNY VAPES","1025 MUTUAL WAY","GRAND CHUTE","WI","54913","OUTAGAMIE","TOWN of GRAND CHUTE","BENJAMIN HALL","2026-06-30","2026-02-13","0","0","1","1","1","0",
"JOHN'S BAR/RALPH'S RESTAURANT","JOHN'S BAR INC","109/111 3RD ST N","LA CROSSE","WI","54601","LA CROSSE","CITY of LA CROSSE","TERRENCE LEE DOERING","2026-06-30","2025-09-26","100","1","1","0","1","0",
"JOHN SOLTWEDEL","SOLTWEDEL'S STORE","102 E. MAIN STREET","CAZENOVIA","WI","53924","RICHLAND","VILLAGE of CAZENOVIA","John Soltwedel","2026-06-30","2025-06-18","5","1","1","0","1","0",
"JOHN & MICHELLE'S BATEMAN TAVERN INC","JOHN & MICHELLE'S BATEMAN TAVERN INC","19990 CTY HWY X","CHIPPEWA FALLS","WI","54729","CHIPPEWA","TOWN of LAFAYETTE","MICHELLE CZECH","2027-06-30","2026-06-23","20","1","1","1","1","0",
"JOHN & HEIDI'S HAPPY DAZE LLC","JOHN & HEIDI'S HAPPY DAZE LLC","W10088 US HWY 8","KENNAN","WI","54537-0000","PRICE","TOWN of KENNAN","John Doberstein","2027-06-30","2026-06-09","5.00","1","1","0","1","0",
"JOHN & AMY THRONSON","HOLLANDALE GROCERY","300 MAIN ST","HOLLANDALE","WI","53544","IOWA","VILLAGE of HOLLANDALE","JOHN & AMY THRONSON","2026-06-30","2025-07-10","10","1","1","1","1","0",
